Physiographic Division,Physiographic Province,State,USGS Station No.,Site Name,Coordinates,,Drainage Area,, Bankfull Discharge,,Bankfull Width,,Bankfull Depth,,Bankfull Area,,Source
Rocky Mountain System,Northern Rocky Mountains,Montana,12329500,Flint Creek at Maxville,46.463816,-113.239787,208.00,538.72,345.00,9.77,45.00,13.72,2.70,0.82,119.00,11.06,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12330000,Boulder Creek at Maxville,46.472149,-113.233954,71.30,184.67,335.00,9.49,33.00,10.06,1.80,0.55,56.70,5.27,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12331700,Edwards Gulch at Drummond,46.673542,-113.142841,4.69,12.15,14.00,0.40,6.10,1.86,0.79,0.24,4.90,0.46,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12332000,Middle Fork Rock Creek near Philipsburg,46.184569,-113.501569,123.00,318.57,554.00,15.69,75.00,22.86,1.90,0.58,144.00,13.38,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12335000,Blackfoot River near Helmville,46.9387194,-112.940736,481.00,1245.78,,,120.00,36.58,5.00,1.52,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12335500,"Nevada Creek above Reservoir, near Helmville",46.778269,-112.767544,116.00,300.44,195.00,5.52,38.00,11.58,1.50,0.46,55.00,5.11,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12338500,Blackfoot River near Ovando,47.0155583,-113.2288167,1274.00,3299.64,,,180.00,54.86,7.00,2.13,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12338600,"Monture Creek at Lolo National Forest boundary, near Ovando",47.093550,-113.153671,105.00,271.95,1130.00,32.00,73.00,22.25,2.10,0.64,152.00,14.12,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12339300,Deer Creek near Seely Lake,47.210213,-113.541748,19.80,51.28,124.00,3.51,21.00,6.40,0.97,0.30,20.60,1.91,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12339450,Clearwater River near Clearwater,47.019102,-113.387576,345.00,893.55,1400.00,39.64,120.00,36.58,2.20,0.67,261.00,24.25,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12339900,West Twin Creek near Bonner,46.912706,-113.715096,7.33,18.98,95.00,2.69,19.00,5.79,2.20,0.67,40.20,3.73,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12340000,Blackfoot River near Bonner,46.8996499,-113.7564872,2290.00,5931.07,,,190.00,57.91,6.00,1.83,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12340200,Marshall Creek near Missoula,46.887703,-113.924828,5.63,14.58,9.00,0.25,4.40,1.34,0.52,0.16,2.30,0.21,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12341000,Rattlesnake Creek at Missoula,46.8721461,-113.9842755,79.70,206.42,,,48.00,14.63,4.20,1.28,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12342500,West Fork Bitterroot River near Conner,45.72491797,-114.2814749,317.00,821.03,,,78.00,23.77,5.00,1.52,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12342950,Trapper Creek near Conner,45.895197,-114.181752,28.50,73.81,440.00,12.46,49.00,14.94,2.00,0.61,95.50,8.87,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12343400,East Fork Bitterroot River near Conner ,45.8832534,-114.0656379,381.00,986.79,,,90.00,27.43,4.50,1.37,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12344000,Bitterroot River near Darby,45.97214249,-114.1414742,1049.00,2716.90,,,184.00,56.08,4.00,1.22,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12344300,Burke Gulch near Darby,46.024087,-114.151198,6.50,16.83,14.00,0.40,8.10,2.47,1.20,0.37,9.90,0.92,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12345800,Camas Creek near Hamilton,46.1443654,-114.2134252,5.05,13.08,,,20.00,6.10,2.00,0.61,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12346500,Skalkaho Creek near Hamilton,46.161033,-113.948697,87.80,227.40,375.00,10.62,33.00,10.06,2.00,0.61,65.20,6.06,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12347500,Blodgett Creek near Corvallis,46.26936608,-114.2370408,25.90,67.08,,,38.00,11.58,2.80,0.85,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12348500,Willow Creek near Corvallis,46.29436618,-113.9953703,21.90,56.72,,,21.00,6.40,2.30,0.70,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12350000,Bear Creek near Victor,46.38092778,-114.220411,26.80,69.41,,,47.00,14.33,3.80,1.16,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12350200,Gash Creek near Victor,46.4054778,-114.2564908,3.37,8.73,,,16.00,4.88,1.40,0.43,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12350500,Kootenai Creek near Stevensville,46.537145,-114.159550,28.90,74.85,670.00,18.97,30.00,9.14,1.30,0.40,38.10,3.54,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12351000,Burnt Fork Bitterroot River near Stevensville,46.4638113,-113.945376,73.20,189.59,,,28.00,8.53,2.00,0.61,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12351400,Eightmile Creek near Florence,46.648606,-113.958175,19.50,50.50,55.00,1.56,14.00,4.27,2.00,0.61,27.00,2.51,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12352000,"Lolo Creek above Sleeman Creek, near Lolo",46.744114,-114.143425,250.00,647.50,1140.00,32.28,57.00,17.37,1.80,0.55,103.00,9.57,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12352200,Hayes Creek near Missoula,46.813257,-114.093723,4.16,10.77,15.00,0.42,8.30,2.53,1.10,0.34,9.00,0.84,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12353400,Negro Gulch near Alberton,47.02075407,-114.5229001,8.02,20.77,,,13.00,3.96,1.50,0.46,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12353800,Thompson Creek near Superior,47.19909398,-114.9170764,12.20,31.60,,,14.00,4.27,2.50,0.76,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12353820,Dry Creek near Superior,47.221317,-114.972911,46.30,119.92,140.00,3.96,24.00,7.32,1.30,0.40,31.40,2.92,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12353850,East Fork Timber Creek near Haugan,47.413264,-115.413484,2.72,7.04,8.00,0.23,9.80,2.99,0.76,0.23,7.90,0.73,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12354000,St. Regis River near St. Regis,47.2968741,-115.1226394,303.00,784.77,,,136.00,41.45,6.50,1.98,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12354100,North Fork Little Joe Creek near St. Regis,47.26992859,-115.1429176,14.70,38.07,,,21.00,6.40,2.40,0.73,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12355000,North Fork Flathead River at Flathead,49.00055556,-114.4763889,427.00,1105.92,,,145.00,44.20,5.00,1.52,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12355350,"Big Creek at Big Creek Ranger Station, near Columbia Falls",48.601913,-114.166240,82.10,212.64,719.00,20.36,45.00,13.72,2.50,0.76,112.00,10.41,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12355500,North Fork Flathead River near Columbia Falls ,48.49552186,-114.1276245,1548.00,4009.30,,,270.00,82.30,7.00,2.13,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12356000,Skyland Creek near Essex,48.2916292,-113.3870403,8.09,20.95,,,28.00,8.53,3.00,0.91,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12356500,Bear Creek near Essex,48.2805176,-113.4259307,20.40,52.84,,,36.00,10.97,3.20,0.98,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12357000,Middle Fork Flathead River at Essex,48.27496207,-113.6037143,510.00,1320.89,,,192.00,58.52,4.70,1.43,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12357300,Moccasin Creek near West Glacier,48.481078,-113.847892,2.38,6.16,,,22.00,6.71,3.20,0.98,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12357400,Middle Fork Flathead River Tributary at West Glacier,48.4999666,-113.9676176,0.14,0.36,,,4.50,1.37,0.80,0.24,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12359000,South Fork Flathead  River at Spotted Bear Ranger Station near Hungry Horse,47.92216858,-113.5245325,958.00,2481.21,,,200.00,60.96,5.50,1.68,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12359500,Spotted Bear River near Hungry Horse,47.92772428,-113.5203658,184.00,476.56,,,105.00,32.00,5.90,1.80,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12360000,Twin Creek near Hungry Horse,47.98479167,-113.5613278,47.00,121.73,,,59.00,17.98,4.50,1.37,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12360500,Lower Twin Creek near Hungry Horse,47.9913,-113.5624694,22.40,58.02,,,44.00,13.41,3.50,1.07,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12361000,Sullivan Creek near Hungry Horse,48.02911819,-113.7037052,71.30,184.67,,,78.00,23.77,3.40,1.04,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12361500,Graves Creek near Hungry Horse,48.1305122,-113.8106582,27.00,69.93,,,60.00,18.29,3.00,0.91,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12362500,South Fork Flathead River near Columbia Falls ,48.3566308,-114.037618,1663.00,4307.15,,,325.00,99.06,7.50,2.29,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12363900,Rock Creek near Olney,48.61218789,-114.6518133,3.61,9.35,,,8.00,2.44,2.00,0.61,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12364000,Logan Creek at Tally Lake near Whitefish,48.4527421,-114.5704189,183.00,473.97,,,67.00,20.42,2.00,0.61,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12365000,Stillwater River near Whitefish,48.31885196,-114.3873575,556.00,1440.03,,,85.00,25.91,12.00,3.66,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12366000,Whitefish Creek near Kalispell,48.320241,-114.278464,170.00,440.30,,,82.00,24.99,4.60,1.40,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12367500,Ashley Creek near Kalispell,48.1649972,-114.4323778,201.00,520.59,,,38.00,11.58,3.50,1.07,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12369650,North Fork Lost Creek near Swan Lake,47.884946,-113.798985,13.00,33.67,240.00,6.80,26.00,7.92,2.70,0.82,71.50,6.64,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12370000,Swan River near Bigfork,48.02439617,-113.9798288,671.00,1737.88,,,185.00,56.39,4.00,1.22,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12370500,Dayton Creek near Proctor,47.9168902,-114.3381807,18.50,47.91,,,14.00,4.27,1.60,0.49,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12370900,Teepee Creek near Poison,47.82150556,-114.0234472,2.18,5.65,,,10.00,3.05,2.50,0.76,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12371100,Hellroaring Creek near Poison,47.70295278,-114.048386,6.22,16.11,,,14.00,4.27,3.50,1.07,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12374250,"Mill Creek above Bassoo Creek, near Niarada",47.829664,-114.697630,19.60,50.76,66.00,1.87,19.00,5.79,1.00,0.30,19.20,1.78,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12374300,Mill Creek near Niarada,47.83133089,-114.6879079,28.20,73.04,,,21.00,6.40,4.70,1.43,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12375700,Garden Creek near Hot Springs,47.64854906,-114.6929084,3.57,9.25,,,12.00,3.66,2.50,0.76,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12375900,South Crow Creek near Ronan,47.491600,-114.026774,7.57,19.61,197.00,5.58,18.00,5.49,1.60,0.49,29.30,2.72,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12377150,"Mission Creek above reservoir, near St. Ignatius",47.322987,-113.979548,12.40,32.12,480.00,13.59,39.00,11.89,2.40,0.73,94.70,8.80,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12383500,Big Knife Creek near Arlee,47.147428,-113.974272,6.88,17.82,51.00,1.44,15.00,4.57,1.20,0.37,18.10,1.68,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12387450,Valley Creek near Arlee,47.170204,-114.230671,15.30,39.63,59.00,1.67,15.00,4.57,1.70,0.52,24.60,2.29,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12388400,"Revais Creek below West Fork, near Dixon",47.266317,-114.406787,23.40,60.61,210.00,5.95,22.00,6.71,1.70,0.52,37.00,3.44,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12389500,Thompson River near Thompson Falls,47.5918806,-115.2295931,642.00,1662.77,,,,,5.00,1.52,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12391100,White Pine Creek near Trout Creek,47.738541,-115.675167,8.75,22.66,130.00,3.68,26.00,7.92,1.40,0.43,37.30,3.47,Lawlor 2004
Appalachian Highlands,New England,Maine,01023000,West Branch Union River at Amherst,44.840239,-68.372017,148.00,383.32,943.00,26.70,,,,,,,Dudley 2004
Appalachian Highlands,New England,Maine,01024200,Garland Brook near Mariaville,44.721436,-68.410964,9.79,25.36,41.00,1.16,,,,,,,Dudley 2004
Appalachian Highlands,New England,Maine,01031500,Piscataquis River near Dover-Foxcroft,45.175000,-69.314722,298.00,771.82,3260.00,92.31,,,,,,,Dudley 2004
Appalachian Highlands,New England,Maine,01035000,Passadumkeag River at Lowell,45.183936,-68.474425,297.00,769.23,924.00,26.16,,,,,,,Dudley 2004
Appalachian Highlands,New England,Maine,01038000,Sheepscot River at North Whitefield,44.222778,-69.593889,145.00,375.55,582.00,16.48,,,,,,,Dudley 2004
Appalachian Highlands,New England,Maine,01049130,Johnson Brook at South Albion,44.498189,-69.486131,2.92,7.56,16.00,0.45,,,,,,,Dudley 2004
Appalachian Highlands,New England,Maine,01049550,Togus Stream at Togus,44.266131,-69.697936,23.70,61.38,94.00,2.66,,,,,,,Dudley 2004
Appalachian Highlands,New England,Maine,01055000,Swift River near Roxbury,44.642778,-70.588889,96.90,250.97,688.00,19.48,,,,,,,Dudley 2004
Appalachian Highlands,New England,Maine,01055500,Nezinscot River at Turner Center,44.269444,-70.229722,169.00,437.71,883.00,25.00,,,,,,,Dudley 2004
Appalachian Highlands,New England,Maine,01060000,Royal River at Yarmouth ,43.799150,-70.178269,141.00,365.19,1460.00,41.34,,,,,,,Dudley 2004
Appalachian Highlands,New England,Vermont,01133000,East Branch Passumpsic River near East Haven,44.633942,-71.897594,53.80,139.34,854.00,24.18,72.00,21.95,3.10,0.94,224.00,20.81,Jaquith and Kline 2006
Appalachian Highlands,New England,Vermont,01135300,Sleepers River (Site W-5) near St. Johnsbury,44.435335,-72.038429,42.90,111.11,1312.00,37.15,69.00,21.03,3.10,0.94,214.00,19.88,Jaquith and Kline 2006
Appalachian Highlands,New England,Vermont,01139800,East Orange Branch at East Orange,44.092842,-72.335653,8.95,23.18,187.00,5.30,28.00,8.53,1.90,0.58,53.00,4.92,Jaquith and Kline 2006
Appalachian Highlands,New England,Vermont,01142500,Ayers Brook at Randolph,43.934510,-72.657882,30.50,78.99,621.00,17.58,41.00,12.50,3.60,1.10,146.00,13.56,Jaquith and Kline 2006
Appalachian Highlands,New England,Vermont,01150900,Ottauquechee River near West Bridgewater,43.622291,-72.758990,23.40,60.61,661.00,18.72,63.00,19.20,3.20,0.98,201.00,18.67,Jaquith and Kline 2006
Appalachian Highlands,New England,Vermont,01153550,Williams River near rockingham,43.191743,-72.485089,112.00,290.08,5490.00,155.46,133.00,40.54,4.90,1.49,650.00,60.39,Jaquith and Kline 2006
Appalachian Highlands,New England,New York,01199477,Stony Brook near Dover Plains ,41.710650,-73.621238,1.93,5.00,88.00,2.49,37.33,11.38,2.23,0.68,86.70,8.05,Mulvihill and Baldigo 2007
Appalachian Highlands,New England,New York,01200000,"Tenmile River near Gaylordsville, Conn. ",41.658983,-73.528458,203.00,525.77,3020.00,85.52,103.27,31.48,6.07,1.85,629.10,58.45,Mulvihill and Baldigo 2007
Appalachian Highlands,Valley and Ridge,New York,01329490,Batten Kill below Mill at Battenville ,43.108687,-73.421779,396.00,1025.64,6320.00,178.96,180.33,54.97,6.97,2.12,1258.33,116.90,Mulvihill et al. 2007
Appalachian Highlands,Valley and Ridge,New York,01330000,Glowegee Creek at West Milton ,43.030630,-73.927347,26.00,67.34,507.00,14.36,49.73,15.16,4.00,1.22,197.67,18.36,Mulvihill et al. 2007
Appalachian Highlands,New England,New York,01333500,Little Hoosic River at Petersburg ,42.763968,-73.337333,56.10,145.30,2500.00,70.79,83.70,25.51,4.10,1.25,337.25,31.33,Mulvihill et al. 2007
Appalachian Highlands,New England,Vermont,01334000,Walloomsac River near North Bennington,42.912856,-73.256498,111.00,287.49,1879.00,53.21,110.00,33.53,3.70,1.13,410.00,38.09,Jaquith and Kline 2006
Appalachian Highlands,Appalachian Plateaus,New York,01342730,Steele Creek at Ilion,43.001459,-75.045157,26.20,67.86,1220.00,34.55,48.15,14.68,3.47,1.06,167.17,15.53,Westergard et al. 2005
Appalachian Highlands,Adirondack,New York,01342797,Vly Brook near Morehouseville ,43.392846,-74.832657,3.28,8.50,133.00,3.77,35.13,10.71,1.48,0.45,50.70,4.71,Mulvihill et al. 2007
Appalachian Highlands,Appalachian Plateaus,New York,01348420,North Creek near Ephratah ,43.007850,-74.564586,6.52,16.89,100.00,2.83,56.50,17.22,1.80,0.55,99.50,9.24,Mulvihill et al. 2007
Appalachian Highlands,Appalachian Plateaus,New York,01350000,Schoharie Creek at Prattsville ,42.319528,-74.436537,237.00,613.83,8340.00,236.16,320.05,97.55,5.75,1.75,1814.55,168.58,"Mulvihill et al. 2009, Miller and Davis 2003"
Appalachian Highlands,Appalachian Plateaus,New York,01350080,Manor Kill at West Conesville near Gilboa ,42.377026,-74.412924,32.40,83.92,803.00,22.74,56.00,17.07,2.30,0.70,129.50,12.03,"Mulvihill et al. 2009, Miller and Davis 2003"
Appalachian Highlands,Appalachian Plateaus,New York,01350120,Platter Kill at Gilboa ,42.406191,-74.447091,10.90,28.23,342.00,9.68,39.65,12.09,1.65,0.50,64.30,5.97,"Mulvihill et al. 2009, Miller and Davis 2003"
Appalachian Highlands,Valley and Ridge,New York,01360640,Valatie Kill near Nassau ,42.552025,-73.591504,9.48,24.55,227.00,6.43,38.55,11.75,2.10,0.64,80.75,7.50,Mulvihill and Baldigo 2007
Appalachian Highlands,Valley and Ridge,New York,01361000,Kinderhook Creek at Rossman 5  ,42.330641,-73.744012,329.00,852.11,5640.00,159.71,148.00,45.11,5.80,1.77,858.50,79.76,Mulvihill and Baldigo 2007
Appalachian Highlands,New England,New York,01362100,Roeliff Jansen Kill near Hillsdale ,42.153979,-73.520118,27.50,71.22,690.00,19.54,56.87,17.33,3.47,1.06,196.03,18.21,Mulvihill and Baldigo 2007
Appalachian Highlands,Appalachian Plateaus,New York,01362197,Bushnellsville Creek at Shandaken ,42.124722,-74.401139,11.40,29.53,297.00,8.41,35.75,10.90,2.15,0.66,76.60,7.12,"Mulvihill et al. 2009, Miller and Davis 2003"
Appalachian Highlands,Appalachian Plateaus,New York,01362200,Esopus Creek at Allaben ,42.117034,-74.380149,63.70,164.98,2770.00,78.44,80.45,24.52,4.30,1.31,342.90,31.86,"Mulvihill et al. 2009, Miller and Davis 2003"
Appalachian Highlands,Appalachian Plateaus,New York,01362500,Esopus Creek at Cold Brook ,42.014259,-74.270425,192.00,497.28,7070.00,200.20,194.70,59.34,6.15,1.87,1470.50,136.61,"Mulvihill et al. 2009, Miller and Davis 2003"
Appalachian Highlands,Appalachian Plateaus,New York,01365500,Chestnut Creek at Grahamsville ,41.845092,-74.539324,20.90,54.13,1230.00,34.83,68.45,20.86,2.60,0.79,178.70,16.60,"Mulvihill et al. 2009, Miller and Davis 2003"
Appalachian Highlands,New England,New York,01372800,Fishkill Creek at Hopewell Junction 5  ,41.572871,-73.806522,57.30,148.41,1110.00,31.43,66.07,20.14,5.23,1.60,345.23,32.07,Mulvihill and Baldigo 2007
Appalachian Highlands,New England,New York,01374598,Horse Pound Brook near Lake Carmel ,41.475861,-73.689472,3.94,10.20,196.00,5.55,48.07,14.65,1.80,0.55,80.07,7.44,Mulvihill and Baldigo 2007
Appalachian Highlands,New England,New York,01374987,Kisco River below Mount Kisco ,41.228750,-73.743611,17.60,45.58,613.00,17.36,52.23,15.92,3.17,0.97,166.27,15.45,Mulvihill and Baldigo 2007
Appalachian Highlands,New England,New York,0137499350,Hunter Brook south of Yorktown ,41.262038,-73.842914,7.42,19.22,679.00,19.23,54.95,16.75,2.50,0.76,134.80,12.52,Mulvihill and Baldigo 2007
Appalachian Highlands,Piedmont,New York,01379590,North Branch of Foulertons Brook at  Roseland,40.819722,-74.289167,0.42,1.09,72.00,2.04,15.25,4.65,1.60,0.49,24.28,2.26,Mulvihill and Baldigo 2007
Appalachian Highlands,New England,New York,01387400,Ramapo River at Ramapo ,41.140373,-74.168479,86.90,225.07,2120.00,60.03,109.13,33.26,3.30,1.01,357.27,33.19,Mulvihill and Baldigo 2007
Appalachian Highlands,Piedmont,New York,01387450,Mahwah River near Suffern ,41.141111,-74.116111,12.30,31.86,324.00,9.17,43.00,13.11,2.68,0.82,114.58,10.64,Mulvihill and Baldigo 2007
